Y	X
  6.4228502e+004  2.7893200e+004
  7.3908005e+004  2.6662400e+004
  4.7170498e+004  2.5120700e+004
  3.2998077e+004  2.3197700e+004
  3.7705251e+004  2.1664100e+004
  4.1725557e+004  2.0652000e+004
  3.8829101e+004  1.9793300e+004
  3.4739352e+004  1.9018800e+004
  3.4157462e+004  1.8584900e+004
  3.4645304e+004  1.8002700e+004
  4.0007649e+004  2.0380100e+004
  4.3064224e+004  2.1320300e+004
  4.5317483e+004  2.2783900e+004
  4.5791024e+004  2.3561600e+004
  4.5773198e+004  2.3720600e+004
  4.2755547e+004  2.2674300e+004
  4.2155424e+004  2.2473800e+004
  4.5285495e+004  2.3552700e+004
  5.3350867e+004  2.6552700e+004
  5.7453941e+004  2.8223100e+004
  5.7485949e+004  2.9201700e+004
  5.7083595e+004  2.9901800e+004
  5.5702336e+004  2.9163900e+004
  5.4894467e+004  2.9060300e+004
  5.1877002e+004  2.7421400e+004
  4.4764628e+004  2.4487200e+004
  4.1416172e+004  2.3174800e+004
  4.1108847e+004  2.2015800e+004
  4.0210783e+004  2.1092200e+004
  4.1488579e+004  2.1772900e+004
  4.9245941e+004  2.4673000e+004
  5.8259817e+004  2.8306900e+004
  6.4796913e+004  3.1675300e+004
  6.8284362e+004  3.4218800e+004
  7.0830797e+004  3.6053100e+004
  7.0593415e+004  3.6520700e+004
  6.9596127e+004  3.6402700e+004
  6.7235759e+004  3.5438000e+004
  6.3533171e+004  3.3862500e+004
  6.3827512e+004  3.3947400e+004
  6.6338826e+004  3.4336800e+004
  6.9298547e+004  3.5505000e+004
  7.5524122e+004  3.8330900e+004
  7.5857826e+004  3.8473600e+004
  7.1945741e+004  3.7864000e+004
  6.9422989e+004  3.6973500e+004
  6.5599192e+004  3.5118100e+004
  6.5213902e+004  3.4611900e+004
  5.8707094e+004  3.1403800e+004
  5.1194744e+004  2.8399500e+004
  4.8118556e+004  2.6703800e+004
  4.7683161e+004  2.5556900e+004
  4.7886205e+004  2.4856500e+004
  4.6755840e+004  2.4658100e+004
  5.2407533e+004  2.6912600e+004
  6.0654535e+004  2.9956300e+004
  6.8241962e+004  3.3573200e+004
  7.0281292e+004  3.5039500e+004
  7.4156024e+004  3.8049000e+004
  7.3291753e+004  3.7639300e+004
  7.0586621e+004  3.7295200e+004
  6.8392232e+004  3.6294800e+004
  6.4881775e+004  3.4528300e+004
  6.4910110e+004  3.4462400e+004
  6.6896064e+004  3.4782500e+004
  7.0148771e+004  3.5971700e+004
  7.6187544e+004  3.8650400e+004
  7.6444565e+004  3.8807900e+004
  7.2578295e+004  3.8145300e+004
  6.9603587e+004  3.7291000e+004
  6.6397193e+004  3.5378200e+004
  6.5943946e+004  3.4998500e+004
  6.0036677e+004  3.1922300e+004
  5.2305189e+004  2.8999300e+004
  4.8758197e+004  2.6976500e+004
  4.7368341e+004  2.5563700e+004
  4.7462149e+004  2.4971500e+004
  4.8285159e+004  2.5092700e+004
  5.2446053e+004  2.6973800e+004
  5.9520733e+004  2.9647700e+004
  6.8894356e+004  3.3934800e+004
  7.3021368e+004  3.6026100e+004
  7.2377690e+004  3.7111100e+004
  7.1158099e+004  3.7322500e+004
  7.0638602e+004  3.7135800e+004
  6.8934506e+004  3.6278200e+004
  6.5035093e+004  3.4481100e+004
  6.3759401e+004  3.4146300e+004
  6.5579161e+004  3.4259800e+004
  6.9180166e+004  3.5485100e+004
  7.6270147e+004  3.8495000e+004
  7.6581645e+004  3.8735100e+004
  7.2741783e+004  3.8100000e+004
  7.0321379e+004  3.7682200e+004
  6.7304585e+004  3.5717000e+004
  6.6648539e+004  3.5439600e+004
  6.1106033e+004  3.2437000e+004
  5.2664938e+004  2.9237200e+004
  4.8833038e+004  2.7303100e+004
  4.8815222e+004  2.6109000e+004
  4.8635655e+004  2.5353500e+004
  4.8086267e+004  2.5155600e+004
  5.2500601e+004  2.7117700e+004
  5.9854726e+004  2.9799700e+004
  6.8576307e+004  3.3762400e+004
  7.1372045e+004  3.5555800e+004
  7.1455083e+004  3.6734000e+004
  7.1316009e+004  3.7370600e+004
  7.0239290e+004  3.6539400e+004
  6.6572420e+004  3.5307500e+004
  6.2553077e+004  3.3641700e+004
  6.1269206e+004  3.2699000e+004
  6.4896734e+004  3.3801400e+004
  6.7488002e+004  3.4269200e+004
  7.0535518e+004  3.6122400e+004
  6.8957332e+004  3.5640700e+004
  6.6205821e+004  3.4978700e+004
  6.5160622e+004  3.4591300e+004
  6.3278770e+004  3.3403200e+004
  6.5283674e+004  3.4214900e+004
  6.0641335e+004  3.1632200e+004
  5.2317725e+004  2.8940100e+004
  4.7567443e+004  2.6593500e+004
  4.5771320e+004  2.4962800e+004
  4.4470551e+004  2.3592600e+004
  4.2396732e+004  2.2570500e+004
  4.3404861e+004  2.2870200e+004
  4.1823857e+004  2.1740700e+004
  4.1983773e+004  2.2176900e+004
  4.6152044e+004  2.3685000e+004
  5.2566611e+004  2.6117300e+004
  5.4991732e+004  2.7404000e+004
  5.4490542e+004  2.8018500e+004
  5.3908968e+004  2.8299700e+004
  5.3376075e+004  2.7931600e+004
  5.0570246e+004  2.6801600e+004
  4.9637277e+004  2.6380300e+004
  5.1623257e+004  2.7018400e+004
  5.9698235e+004  3.0091200e+004
  6.3393979e+004  3.1298600e+004
  6.2749964e+004  3.2079100e+004
  6.2089980e+004  3.2616900e+004
  6.1120279e+004  3.2090900e+004
  6.2438697e+004  3.2631700e+004
  5.9592562e+004  3.1120400e+004
  5.0146128e+004  2.7473200e+004
  4.3217874e+004  2.4923800e+004
  4.3004017e+004  2.3502800e+004
  4.3589119e+004  2.2759700e+004
  4.2264701e+004  2.2086100e+004
  4.0995431e+004  2.1731200e+004
  4.0804971e+004  2.1430200e+004
  4.1604919e+004  2.1784200e+004
  4.4029194e+004  2.2548700e+004
  5.0425860e+004  2.5346300e+004
  5.4537448e+004  2.6995600e+004
  5.4325910e+004  2.7628500e+004
  5.3220498e+004  2.7970400e+004
  5.3228683e+004  2.7912200e+004
  5.1452289e+004  2.7074700e+004
  5.0583861e+004  2.6726000e+004
  5.2151579e+004  2.7251400e+004
  6.0931045e+004  3.0711000e+004
  6.5502090e+004  3.2216200e+004
  6.5122274e+004  3.3284900e+004
  6.4595162e+004  3.3814000e+004
  6.2248306e+004  3.2729900e+004
  6.0875759e+004  3.2435100e+004
  5.3683093e+004  2.8699100e+004
  4.6314392e+004  2.6212100e+004
  4.4663666e+004  2.4577000e+004
  4.4178511e+004  2.3519600e+004
  4.4565019e+004  2.3192900e+004
  4.5801848e+004  2.3774800e+004
  5.3028531e+004  2.6797300e+004
  6.3150887e+004  3.0799700e+004
  7.2069759e+004  3.5037200e+004
  7.2599211e+004  3.6248200e+004
  7.1956515e+004  3.7630900e+004
  7.4838550e+004  3.8789200e+004
  7.4415564e+004  3.8441100e+004
  7.1384982e+004  3.7531000e+004
  6.7137764e+004  3.5972100e+004
  6.7802436e+004  3.6052200e+004
  7.0430320e+004  3.6344800e+004
  7.3152821e+004  3.7560400e+004
  7.9793876e+004  4.0449500e+004
  8.0601589e+004  4.0879300e+004
  7.6833457e+004  4.0272600e+004
  7.3855780e+004  3.9406400e+004
  6.8389421e+004  3.6770100e+004
  6.6771714e+004  3.5822400e+004
  5.9915590e+004  3.2250700e+004
  5.2668749e+004  2.9295200e+004
  5.0010928e+004  2.7593500e+004
  4.9396854e+004  2.6257800e+004
  4.9122077e+004  2.5785700e+004
  4.9693654e+004  2.5911000e+004
  5.4417596e+004  2.7902100e+004
  6.5945598e+004  3.2549200e+004
  7.6232808e+004  3.6900700e+004
  7.7107161e+004  3.8299100e+004
  7.4442295e+004  3.8935600e+004
  7.4610862e+004  3.9316000e+004
  7.4425716e+004  3.8902300e+004
  7.2246272e+004  3.7900700e+004
  6.7935304e+004  3.6172600e+004
  6.7987073e+004  3.6252200e+004
  7.0768930e+004  3.6657000e+004
  7.3846452e+004  3.7771400e+004
  7.9823093e+004  4.0592500e+004
  8.1318000e+004  4.1279600e+004
  7.8185996e+004  4.0767400e+004
  7.4430344e+004  3.9732200e+004
  6.8864090e+004  3.7102900e+004
  6.7454587e+004  3.6199500e+004
  6.0224153e+004  3.2418000e+004
  5.2496196e+004  2.9279500e+004
  4.9940273e+004  2.7525100e+004
  4.9691291e+004  2.6497200e+004
  5.0152980e+004  2.6047600e+004
  4.9546907e+004  2.5959800e+004
  5.4749727e+004  2.8114600e+004
  6.5419067e+004  3.2339800e+004
  7.3667143e+004  3.5928000e+004
  7.6662050e+004  3.8253900e+004
  7.6235768e+004  3.9382900e+004
  7.4142383e+004  3.8840400e+004
  7.2718138e+004  3.8466400e+004
  7.1090493e+004  3.7425000e+004
  6.7072221e+004  3.5715000e+004
  6.7351469e+004  3.5775700e+004
  6.9191606e+004  3.5918200e+004
  7.1598826e+004  3.6802600e+004
  7.7837735e+004  3.9651100e+004
  8.0123567e+004  4.0507600e+004
  7.6662704e+004  3.9954600e+004
  7.3083781e+004  3.8966900e+004
  6.8112062e+004  3.6614200e+004
  6.6949504e+004  3.5767400e+004
  6.0461358e+004  3.2434000e+004
  5.3154508e+004  2.9474300e+004
  4.9553687e+004  2.7400900e+004
  4.9545236e+004  2.6576300e+004
  5.0209924e+004  2.6040300e+004
  5.0668833e+004  2.6405000e+004
  5.5520138e+004  2.8364900e+004
  6.5313969e+004  3.2395400e+004
  7.6013624e+004  3.7055300e+004
  7.4685121e+004  3.7231000e+004
  7.2424471e+004  3.8223000e+004
  7.2264211e+004  3.8066000e+004
  7.3790114e+004  3.8421900e+004
  7.1771567e+004  3.7390200e+004
  6.6971552e+004  3.5686800e+004
  6.6624184e+004  3.5658400e+004
  6.8821118e+004  3.5746000e+004
  7.1590744e+004  3.6687400e+004
  7.7571408e+004  3.9408800e+004
  7.9558825e+004  4.0349700e+004
  7.6469228e+004  3.9829700e+004
  7.3231730e+004  3.8993300e+004
  6.7923770e+004  3.6555800e+004
  6.6559948e+004  3.5743000e+004
  6.1109317e+004  3.2437100e+004
  5.3160356e+004  2.9481900e+004
  4.9833674e+004  2.7651600e+004
  5.0201414e+004  2.6750300e+004
  4.9696077e+004  2.5921600e+004
  5.0291569e+004  2.6287100e+004
  5.5616878e+004  2.8395000e+004
  6.4223837e+004  3.1949000e+004
  7.4271615e+004  3.6362000e+004
  7.5231409e+004  3.7335000e+004
  7.3383534e+004  3.8411000e+004
  7.3868379e+004  3.8659900e+004
  7.2964834e+004  3.8129000e+004
  7.0391876e+004  3.7149800e+004
  6.6225880e+004  3.5285400e+004
  6.5786503e+004  3.5098100e+004
  6.7255912e+004  3.5146300e+004
  6.9918278e+004  3.5915800e+004
  7.5550430e+004  3.8452700e+004
  7.7360189e+004  3.9209600e+004
  7.3895276e+004  3.8525400e+004
  7.0437044e+004  3.7682200e+004
  6.6713594e+004  3.5719900e+004
  6.6893087e+004  3.5539100e+004
  6.1556422e+004  3.2568000e+004
  5.3629948e+004  2.9607300e+004
  4.9472007e+004  2.7594900e+004
  4.8273178e+004  2.6008800e+004
  4.7382174e+004  2.5016700e+004
  4.6017190e+004  2.4278200e+004
  4.6587393e+004  2.4423400e+004
  4.8405042e+004  2.5112900e+004
  5.2990105e+004  2.6834200e+004
  5.8512166e+004  2.9324200e+004
  6.3080617e+004  3.1425000e+004
  6.3231161e+004  3.2363100e+004
  6.1935867e+004  3.2216800e+004
  5.9942324e+004  3.1830400e+004
  5.8001243e+004  3.0695700e+004
  5.5897362e+004  2.9769300e+004
  5.5398696e+004  2.9247400e+004
  5.6830731e+004  2.9599500e+004
  6.3578755e+004  3.2382600e+004
  6.7809834e+004  3.3777400e+004
  6.6551725e+004  3.4195900e+004
  6.4918113e+004  3.4143400e+004
  6.2180077e+004  3.2974600e+004
  6.3462343e+004  3.3523700e+004
  5.8888700e+004  3.0893900e+004
  5.0978473e+004  2.8092500e+004
  4.6343118e+004  2.5906500e+004
  4.4157281e+004  2.4030000e+004
