S1	S2	S3	S4	S5	S6
  5.7599099e-001  8.8170471e-002  1.1335537e+000  7.2088002e+000  4.2699392e+000  1.7042609e+000
  7.5908259e-001  5.5155377e+000  1.2541693e+000  9.0437688e-001  4.9795793e+000  4.1474684e+000
  8.2347179e-001  5.0563770e+000  6.4152245e-001  2.5818256e+000  3.0383168e+000  2.8292888e+000
  7.7090165e-001  1.7267031e+000  1.4906570e+000  9.2272758e+000  2.3630995e+000  6.2282204e-001
  6.9907909e-001  5.5366395e+000  1.3775727e+000  1.9793367e+000  6.7124348e+000  1.1744041e+000
  6.6887336e-001  2.5198836e+000  9.9764527e-001  1.4266197e+000  1.1219623e+000  2.7235663e+000
  8.0814668e-001  5.5413041e+000  1.2367474e+000  3.7369072e-003  2.9529316e+000  2.3797998e+000
  6.5888897e-001  2.1433003e+000  1.5754278e+000  2.0379146e+000  3.4933025e+000 -6.1410220e-001
  4.9671179e-001  8.4423957e-001  7.1219773e-001  1.7402137e+000  2.5064906e+000  6.6045594e-001
  9.3823016e-001  6.1089383e+000  1.0550288e+000  1.1942589e+000  1.4783429e+000  1.5946423e+000
  5.7461438e-001  1.0534327e+001  1.1454931e+000  3.9965710e+000  3.5540136e+000  3.2628406e+000
  1.6332312e-001  3.1278828e+000  1.8620738e+000  1.7586448e+000  5.1986423e+000 -8.7374301e-002
  1.5144141e-001  2.0178468e+000  1.1050908e+000  5.6714126e+000  6.4197419e+000  3.9148067e+000
  5.1095408e-001  8.8929852e-001  2.0340539e+000  5.2648436e-003  6.9396513e+000  1.6901789e+000
  7.3800527e-001  1.6767972e+000  9.2791903e-001  3.4314489e-001  4.0436625e+000  4.2964967e+000
  8.9099322e-001  3.5600792e-001  1.3884357e+000  5.4374935e+000  5.4243741e+000  4.9985604e+000
  6.5014121e-001  5.4080291e+000  8.5466965e-001  4.5355565e+000  9.4267808e+000  2.6278037e+000
  4.1773909e-001  4.9613516e+000  1.6462188e+000  2.1931088e+000  3.3247266e+000  2.5273310e+000
  5.3601983e-001  1.1995687e+001  1.1213249e+000  1.4579660e+000  2.0414800e+000  2.6597922e+000
  9.5582377e-001  6.0500405e-001  1.0111617e+000  3.3483540e+000  2.4193126e+000  1.2461794e+000
  2.7394438e-001  1.1986351e-001  1.2193000e+000  4.0020524e-001  4.0882063e+000  4.3188768e-001
  4.0438171e-001  3.7051701e+000  1.4816095e+000  5.1927552e-002  5.0888117e+000  2.7534897e+000
  5.9191820e-001  4.7121470e-002  1.0011459e+000  1.1605094e+000  3.1343836e+000  2.5937178e-001
  8.4258287e-001  3.4666447e+000  1.0941222e+000  9.4744622e-001  7.5832431e+000  3.5279406e+000
  1.2421033e-001  5.8211769e-002  1.1313032e+000  4.4853457e-001  4.6929404e+000  3.2022872e+000
  7.3855859e-001  4.8645060e+000  6.6284282e-001  2.7762797e+000  3.8321869e+000  2.5319636e+000
