NAME	TEAM1516	Height	Weight	OverallRating	crossing	finishing	heading_accuracy	short_passing	volleys	dribbling	curve	free_kick_accuracy	long_passing	ball_control	acceleration	sprint_speed	agility	reactions	balance	shot_power	jumping	stamina	strength	long_shots	aggression	interceptions	positioning	vision	penalties	marking	standing_tackle	sliding_tackle	GKdiving	GKhandling	GKkicking	GKpositioning	GKreflexes
Diego_Mainz	7878	187.96	174	69	36	37	75	55	20	45	30	19	60	56	42	42	43	61	45	57	57	61	82	20	80	71	31	52	35	71	71	66	11	6	7	9	15
Jose_Dorado	8370	180.34	154	69	42	43	67	65	29	40	52	20	57	56	57	59	58	70	60	39	77	59	67	19	63	75	44	58	32	72	71	80	11	16	23	15	12
Pablo_Hernandez	8370	172.72	159	76	77	73	56	72	68	83	80	76	70	80	81	80	84	72	76	75	66	64	54	77	55	53	74	76	71	39	43	36	12	17	23	12	10
Ruben_Perez	7878	177.8	159	73	54	42	54	75	26	56	57	57	69	69	68	67	66	75	70	72	73	77	75	62	78	80	58	74	52	58	76	63	10	9	19	10	16
Jorge_Molina	8603	187.96	192	72	44	76	81	60	77	61	54	58	50	70	53	56	52	70	47	77	70	64	89	58	75	43	79	58	74	31	30	20	6	16	16	15	16
Antolin_Alcaraz	8306	187.96	176	70	49	38	71	65	34	49	20	36	56	61	52	53	55	67	64	53	72	65	74	42	70	72	58	53	55	69	73	74	7	14	28	18	14
Carlos_Carmona	9869	177.8	159	68	67	58	58	65	53	74	73	66	60	72	72	71	71	68	71	58	66	63	58	65	58	51	68	62	68	29	40	35	9	14	21	16	7
Marcos_Angeleri	9864	182.88	168	74	70	36	65	70	41	55	55	46	69	59	69	73	63	75	55	70	82	75	76	49	87	72	39	51	55	75	78	76	12	9	6	5	11
Gustavo_Cabral	9910	182.88	179	72	32	32	74	61	36	46	31	47	49	58	58	55	60	59	64	50	80	69	76	33	81	67	39	49	47	74	72	73	10	8	15	8	12
Neymar	8634	175.26	150	84	70	83	63	76	81	92	77	74	72	90	90	88	93	85	83	76	62	78	44	72	54	39	85	77	80	21	27	33	9	11	20	16	12
Victor_Casadesus	8581	180.34	176	72	62	70	76	67	72	73	65	61	56	75	68	66	65	72	67	75	81	71	77	66	75	40	77	69	68	37	31	29	7	14	18	9	12
Carlos_Kameni	9864	185.42	190	78	17	16	17	34	14	18	14	16	37	21	44	44	60	69	61	28	74	47	71	17	47	25	17	39	34	17	16	14	84	76	64	72	87
Ivan_Rakitic	8634	182.88	172	79	81	78	48	83	78	78	87	82	85	83	68	70	73	76	67	80	54	75	64	83	64	64	76	83	76	43	53	54	13	13	26	9	11
Pepe	8633	187.96	179	84	44	46	81	69	23	58	44	49	64	63	75	78	65	77	68	60	82	76	83	56	88	84	56	62	64	84	86	93	7	17	27	13	14
Thomas_Vermaelen	8634	182.88	176	80	62	56	82	74	52	61	58	63	73	66	72	69	64	78	65	80	93	67	78	71	79	77	46	65	66	80	82	83	8	11	18	12	15
Karim_Benzema	8633	187.96	174	85	75	87	78	82	77	83	76	73	47	86	85	84	79	82	70	84	71	72	76	77	63	33	84	80	81	19	22	15	11	13	15	8	10
Kevin_Gameiro	8302	172.72	154	77	69	81	65	74	77	74	74	66	66	75	83	79	85	78	78	74	76	71	63	73	64	43	80	76	72	21	30	37	6	11	16	10	8
Jeremy_Mathieu	8634	187.96	185	78	83	49	75	68	60	59	81	68	74	73	71	78	57	76	54	79	62	75	89	70	80	80	62	57	64	74	81	77	12	15	26	11	8
Heiko_Westermann	8603	190.5	192	77	63	50	82	67	59	55	47	39	67	65	68	70	53	76	59	72	69	74	82	62	77	78	58	67	54	77	80	77	7	9	18	11	10
Marcelo	8633	175.26	165	76	80	59	60	76	52	77	75	64	73	77	78	79	78	78	77	76	74	77	69	60	77	74	67	69	61	72	75	78	11	9	24	9	11
David_Navarro	8581	187.96	181	75	44	43	76	64	43	47	45	45	61	59	54	57	55	70	56	59	76	64	83	37	88	75	45	53	51	78	76	74	11	11	20	8	8
Roque_Santa_Cruz	9864	190.5	183	77	59	78	84	72	77	69	78	53	41	77	55	59	59	78	56	82	57	63	85	65	66	40	81	67	65	21	26	30	11	8	13	8	10
Rafael_van_der_Vaart	8603	175.26	163	82	81	78	56	85	82	81	86	84	84	85	59	59	75	84	75	81	55	69	64	83	59	56	79	85	77	32	41	33	10	13	19	16	15
Fernando_Torres	9906	185.42	172	83	71	84	77	78	86	83	79	67	51	84	83	82	78	82	64	84	77	72	75	78	64	40	84	79	78	21	26	25	13	14	16	11	12
Tiago	9906	182.88	157	80	64	61	75	84	68	72	78	69	82	84	67	67	62	77	62	79	76	76	75	75	80	76	74	82	62	56	77	69	6	10	28	10	15
Cristiano_Ronaldo	8633	185.42	176	91	84	91	86	82	86	93	88	82	72	94	92	94	93	88	74	93	93	88	79	90	61	36	86	81	84	22	31	23	7	13	28	15	13
Ricardo_Costa	7878	182.88	176	76	40	25	78	57	34	48	24	28	46	59	60	63	59	66	70	68	84	72	84	32	87	73	56	58	45	75	74	80	11	15	17	10	14
Andres_Iniesta	8634	170.18	150	88	84	73	55	94	74	90	80	69	89	93	80	77	86	89	86	67	55	78	60	76	59	72	88	93	71	58	60	56	7	15	26	15	10
Sergio_Ramos	8633	182.88	165	86	73	55	87	77	57	69	73	65	69	82	81	82	83	80	70	71	92	84	83	55	84	83	65	66	65	85	88	89	10	11	27	11	13
Lionel_Messi	8634	170.18	159	92	83	92	69	89	88	96	88	84	77	96	95	91	94	93	92	80	70	78	60	87	49	34	91	90	80	19	22	20	6	13	29	15	11
Guillermo_Ochoa	9864	185.42	172	79	19	17	19	26	17	17	15	21	44	26	56	54	70	69	65	24	78	45	55	16	21	36	33	50	30	17	20	18	81	72	76	77	85
Luka_Modric	8633	175.26	143	83	76	73	57	88	77	83	83	80	86	88	78	76	92	85	88	71	67	83	61	78	65	65	81	89	79	57	56	53	10	11	26	15	11
Gareth_Bale	8633	182.88	163	84	83	77	73	81	76	84	87	84	79	83	90	92	75	82	67	84	68	88	77	84	76	65	80	78	74	67	71	71	15	16	21	8	8
German_Dario_Lux	9783	185.42	170	73	17	17	17	17	13	18	15	14	35	32	29	32	55	70	45	17	65	53	72	16	44	29	17	38	21	18	17	15	78	66	66	72	77
Mehdi_Lacen	8305	175.26	159	73	65	51	56	79	66	73	77	70	71	75	69	68	78	70	75	68	72	78	72	67	69	70	67	77	58	62	69	62	12	10	25	14	14
Carlos_Gurpegi	8315	180.34	165	75	59	44	74	74	55	57	66	59	66	67	60	59	54	71	71	66	87	74	81	60	84	81	62	62	51	69	80	71	14	16	21	9	16
Aritz_Aduriz	8315	182.88	172	79	56	82	90	71	78	72	61	54	51	76	69	73	62	79	62	80	92	71	78	75	74	32	82	72	73	44	43	48	13	12	20	16	11
Fernando_Llorente	8302	195.58	198	81	48	84	92	69	84	71	60	46	47	79	58	67	63	82	61	82	73	70	91	64	77	38	85	65	67	23	27	23	9	8	13	9	6
Didier_Digard	8603	182.88	168	69	45	53	71	71	31	62	52	53	67	68	65	62	67	67	68	64	68	76	74	63	74	64	47	70	67	67	70	68	7	15	23	13	11
